ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0x1602,CUS_0xd40,January,Aaron Maashoh,23,821-00-0265,Scientist,19114.12,1824.8433333333328,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,11.27,4,Unknown,809.98,26.822619623699016,22.1,No,49.6,80.41529543900253,High Spent Small Value Payments,312.49408867943663,Good
0x1603,CUS_0xd40,February,Aaron Maashoh,23,821-00-0265,Scientist,19114.12,1592.8433333333332,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",1,14,11.27,4,Good,809.98,31.94496005538421,0.0,No,49.6,118.28022162236736,Low Spent Large Value Payments,284.62916249607184,Good
0x1604,CUS_0xd40,March,Aaron Maashoh,16,821-00-0265,Scientist,19114.12,1592.8433333333332,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,0.0,4,Good,809.98,28.60935202206993,22.2,No,49.6,81.699521264648,Low Spent Medium Value Payments,331.2098628537912,Good
0x1605,CUS_0xd40,April,Aaron Maashoh,23,821-00-0265,Scientist,19114.12,1592.8433333333332,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",5,4,6.27,4,Good,809.98,31.37786186958235,22.3,No,49.6,199.4580743910713,Low Spent Small Value Payments,223.45130972736783,Good
0x1606,CUS_0xd40,May,Aaron Maashoh,23,821-00-0265,Scientist,19114.12,1824.8433333333328,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",6,14,11.27,4,Good,809.98,24.797346908844982,22.4,No,49.6,41.420153086217326,High Spent Medium Value Payments,341.48923103222177,Good
0x1607,CUS_0xd40,June,Aaron Maashoh,23,821-00-0265,Scientist,19114.12,1592.8433333333332,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",8,4,9.27,4,Good,809.98,27.26225871052017,22.5,No,49.6,62.430172331195294,Unknown,340.4792117872438,Good
0x1608,CUS_0xd40,July,Aaron Maashoh,23,821-00-0265,Scientist,19114.12,1824.8433333333328,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,8,11.27,4,Good,809.98,22.53759303178384,22.6,No,49.6,178.3440674122349,Low Spent Small Value Payments,244.5653167062043,Good
0x1609,CUS_0xd40,August,Unknown,23,,Scientist,19114.12,1824.8433333333328,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,6,11.27,4,Good,809.98,23.93379480196552,0.0,No,49.6,24.785216509052056,High Spent Medium Value Payments,358.12416760938714,Standard
0x160e,CUS_0x21b1,January,Rick Rothackerj,28,004-07-5839,Unknown,34847.84,3037.986666666666,2,4,6,1,Credit-Builder Loan,3,4,5.42,2,Good,605.03,24.46403063758457,26.6,No,18.8,104.291825168246,Low Spent Small Value Payments,470.69062692529184,Standard
0x160f,CUS_0x21b1,February,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,3037.986666666666,2,4,6,1,Credit-Builder Loan,7,1,7.42,2,Good,605.03,38.550848433956325,26.7,No,18.8,40.39123782853101,High Spent Large Value Payments,484.5912142650067,Good
0x1610,CUS_0x21b1,March,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,3037.986666666666,2,1,6,1,Credit-Builder Loan,3,1,5.42,2,Unknown,605.03,33.22495078663659,26.8,No,18.8,58.51597569589465,High Spent Large Value Payments,466.46647639764313,Standard
0x1611,CUS_0x21b1,April,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,2903.986666666666,2,4,6,1,Credit-Builder Loan,3,3,5.42,2,Good,605.03,39.18265565546884,26.8,No,18.8,99.30622796053304,Low Spent Medium Value Payments,465.6762241330048,Good
0x1612,CUS_0x21b1,May,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,3037.986666666666,2,4,6,1,Credit-Builder Loan,3,1,6.42,2,Good,605.03,34.97789474709241,26.9,No,18.8,130.11542024292334,Low Spent Small Value Payments,444.8670318506144,Good
0x1613,CUS_0x21b1,June,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,3037.986666666666,2,4,6,1,Credit-Builder Loan,3,0,5.42,2,Good,605.03,33.38101020065065,27.0,No,18.8,43.477190144355745,High Spent Large Value Payments,481.505261949182,Good
0x1614,CUS_0x21b1,July,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,2903.986666666666,2,4,6,1,Credit-Builder Loan,3,4,5.42,2,Good,605.03,31.131701611553307,27.1,Unknown,18.8,70.10177420755677,High Spent Medium Value Payments,464.8806778859809,Good
0x1615,CUS_0x21b1,August,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,3037.986666666666,2,4,6,1,Credit-Builder Loan,3,4,5.42,2,Good,605.03,32.933856293622235,27.2,No,18.8,218.90434353388733,Low Spent Small Value Payments,356.07810855965045,Good
0x1626,CUS_0xb891,January,Jasond,54,072-31-6145,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,Not Specified,0,6,1.99,4,Good,632.46,26.54422872407309,17.2,No,16.4,81.22885871073616,Low Spent Large Value Payments,433.6047729627723,Standard
0x1627,CUS_0xb891,February,Jasond,54,072-31-6145,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,Not Specified,5,3,1.99,4,Good,632.46,35.279981779008544,17.3,No,16.4,124.88181990234848,Low Spent Small Value Payments,409.9518117711599,Standard
0x1628,CUS_0xb891,March,Jasond,55,072-31-6145,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,Not Specified,3,9,1.99,4,Good,632.46,32.30116343180253,17.4,Unknown,16.4,83.40650880252501,High Spent Medium Value Payments,411.42712287098345,Standard
0x1629,CUS_0xb891,April,Jasond,55,072-31-6145,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,Not Specified,7,6,-2.01,4,Good,632.46,38.132348192570056,17.5,No,16.4,272.3340373956682,Low Spent Small Value Payments,262.4995942778403,Standard
0x162b,CUS_0xb891,June,Jasond,55,,Unknown,30689.89,2612.4908333333333,2,5,4,1,Not Specified,5,6,-3.01,4,Unknown,632.46,27.4454217928553,17.7,No,16.4,84.95284817115969,High Spent Small Value Payments,419.8807835023488,Standard
0x162c,CUS_0xb891,July,Jasond,55,072-31-6145,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,Not Specified,5,14,1.99,4,Good,632.46,26.05639527857161,17.8,No,16.4,71.28367488286933,Low Spent Large Value Payments,443.5499567906391,Standard
0x162d,CUS_0xb891,August,Jasond,55,072-31-6145,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,Not Specified,4,9,1.99,4,Good,632.46,27.332514927554215,17.8,No,16.4,125.61725053231268,High Spent Small Value Payments,379.21638114119577,Standard
0x1632,CUS_0x1cdb,January,Deepaa,21,615-06-7821,Developer,35547.71,2853.3091666666664,7,5,5,0,,5,14,2.58,4,Standard,943.86,39.797764231999174,30.7,Yes,0.0,276.72539431736266,Unknown,288.60552234930395,Standard
